class,sentence
Bathroom,Lead me to the bathroom.
Bathroom,Guide me to the restroom.
Bathroom,Take me to the restroom.
Bathroom,Help me find the bathroom.
Bathroom,Direct me to the bathroom.
Bathroom,"To the bathroom, please."
Bathroom,I need the restroom.
Bathroom,Guide me to the bathroom.
Bathroom,Can you help me find the way to the bathroom?
Bathroom,Show me the way to the restroom.
Bathroom,Direct me to the toilet.
Bathroom,Lead the way to the bathroom.
Bathroom,Help me locate the restroom.
Bathroom,Take me to the washroom.
Bathroom,Take me to the bathroom.
Bathroom,I require assistance to the bathroom.
Bathroom,Lead me to the nearest restroom.
Bathroom,Show me the path to the toilet.
Bathroom,"I need to find the bathroom, can you assist?"
Bathroom,"Bathroom, I need your guidance."
Bathroom,Lead me to the nearest bathroom.
Bathroom,Show me the way to the bathroom.
Bathroom,I need to go to the bathroom.
Bathroom,I need to go to the restroom.
Bathroom,Can you help me find the way to the restroom?
Bathroom,Can you help me find the way to the washroom?
Bathroom,Can you help me find the way to the WC?
Bathroom,I need to use the bathroom.
Bathroom,I need to use the restroom.
Bathroom,Direct me to the WC.
Bathroom,Guide me to the washroom.
Bathroom,"To the restroom, please."
Bathroom,Assist me in finding the bathroom.
Bathroom,"Could you help me find the bathroom, please?"
Bathroom,Where is the closest restroom from my current location?
Bathroom,Which way should I go to reach the restroom?
Bathroom,Can you point me in the direction of the bathroom?
Bathroom,Where can I find the washroom?
Bathroom,Do you know the way to the bathroom from here?
Bathroom,Can you guide me to the nearest restroom?
Bathroom,Can you help me locate the closest bathroom?
Bathroom,Do you know where I can find the restroom?
Bathroom,"Could you direct me to the bathroom, please?"
Bathroom,Can you assist me in finding the bathroom?
Bathroom,Do you know the way to the nearest restroom?
Bathroom,Where is the bathroom located?
Bathroom,Could you guide me to the restroom?
Bathroom,Bathroom please.
Elevator,Lead me to the elevator.
Elevator,Guide me to the lift.
Elevator,Take me to the nearest elevator.
Elevator,Assist me in finding the lift.
Elevator,Direct me to the closest elevator.
Elevator,"To the elevator, please."
Elevator,"I need the lift, urgently."
Elevator,Show me the way to the elevator.
Elevator,Can you help me locate the nearest lift?
Elevator,Help me find the way to the elevator.
Elevator,Direct me to the nearest lift.
Elevator,Lead the way to the closest elevator.
Elevator,Show me the path to the lift.
Elevator,"Take me to the elevator, if you can."
Elevator,I need to use the nearest lift.
Elevator,"Guide me to the elevator, please."
Elevator,Can you help me find the closest lift?
Elevator,Show me the way to the nearest elevator.
Elevator,"Lead me to the lift, if you may."
Elevator,I need assistance in finding the elevator.
Elevator,Could you guide me to the lift?
Elevator,Can you assist me in finding the elevator?
Elevator,Do you know the way to the nearest lift?
Elevator,Can you help me locate the closest elevator?
Elevator,Do you know where I can find the elevator?
Elevator,"Could you direct me to the elevator, please?"
Elevator,"Could you help me find the elevator, please?"
Elevator,Where is the closest elevator from my current location?
Elevator,Elevator please.
Classroom,Lead me to the classroom.
Classroom,Guide me to the classroom.
Classroom,Take me to the classroom.
Classroom,Help me find the classroom.
Classroom,Direct me to the classroom.
Classroom,"To the classroom, please."
Classroom,I need the classroom.
Classroom,Guide me to the classroom.
Classroom,Can you help me find the way to the classroom?
Classroom,Show me the way to the classroom.
Classroom,Direct me to the classroom.
Classroom,Lead the way to the classroom.
Classroom,Help me locate the classroom.
Classroom,Take me to the classroom.
Classroom,I require assistance to the classroom.
Classroom,Lead me to the nearest classroom.
Classroom,Show me the path to the classroom.
Classroom,"I need to find the classroom, can you assist?"
Classroom,"Classroom, I need your guidance."
Classroom,Show me the way to the classroom.
Classroom,I need to go to the classroom.
Classroom,Can you help me find the way to the classroom?
Classroom,I need to use the classroom.
Classroom,Direct me to the classroom.
Classroom,Guide me to the classroom.
Classroom,"To the classroom, please."
Classroom,Assist me in finding the classroom.
Classroom,"Could you help me find the classroom, please?"
Classroom,Where is the closest classroom from my current location?
Classroom,Which way should I go to reach the classroom?
Classroom,Can you point me in the direction of the classroom?
Classroom,Where can I find the classroom?
Classroom,Do you know the way to the classroom from here?
Classroom,Do you know where I can find the classroom?
Classroom,"Could you direct me to the classroom, please?"
Classroom,Can you assist me in finding the classroom?
Classroom,Where is the classroom located?
Classroom,Could you guide me to the classroom?
Classroom,Classroom please.
Dean's office,Lead me to the dean's office.
Dean's office,Guide me to the dean's office.
Dean's office,Take me to the dean's office.
Dean's office,Help me find the dean's office.
Dean's office,Direct me to the dean's office.
Dean's office,"To the dean's office, please."
Dean's office,I need the dean's office.
Dean's office,Can you help me find the way to the dean's office?
Dean's office,Show me the way to the dean's office.
Dean's office,Lead the way to the dean's office.
Dean's office,Help me locate the dean's office.
Dean's office,Take me to the dean's office.
Dean's office,I require assistance to the dean's office.
Dean's office,Lead me to the nearest dean's office.
Dean's office,Show me the path to the dean's office.
Dean's office,"Dean's office, I need your guidance."
Dean's office,I need to go to the dean's office.
Dean's office,Can you help me find the way to the dean's office?
Dean's office,I need to use the dean's office.
Dean's office,Direct me to the dean's office.
Dean's office,Assist me in finding the dean's office.
Dean's office,"Could you help me find the dean's office, please?"
